value,date
17322.2,2018-06-03
17389.9,2018-06-09
17435.7,2018-06-10
17446.9,2018-06-11
17550.7,2018-06-12
17889.6,2018-06-13
18287.1,2018-06-17
18350.9,2018-06-18
18345.4,2018-06-19
18519.7,2018-06-20
18702.9,2018-06-23
18942.0,2018-06-24
19137.2,2018-06-25
18922.6,2018-06-26
18703.7,2018-06-27
18747.0,2018-06-30
18561.0,2018-07-01
18625.4,2018-07-02
18730.6,2018-07-03
18705.1,2018-07-04
18665.7,2018-07-07
18592.1,2018-07-08
18527.9,2018-07-10
18332.2,2018-07-11
18383.3,2018-07-14
18348.0,2018-07-15
18322.5,2018-07-16
18326.1,2018-07-17
18289.8,2018-07-18
18404.3,2018-07-21
18438.5,2018-07-22
18282.9,2018-07-23
18270.7,2018-07-24
18282.2,2018-07-25
18282.2,2018-07-26
18282.2,2018-07-27
18349.7,2018-07-28
18345.6,2018-07-29
18364.8,2018-07-30
18830.8,2018-07-31
18936.5,2018-08-01
18784.6,2018-08-04
18885.0,2018-08-05
18942.5,2018-08-06
18949.9,2018-08-07
18913.3,2018-08-08
18900.5,2018-08-11
18978.0,2018-08-12
19014.6,2018-08-13
19091.9,2018-08-14
19135.5,2018-08-15
19421.1,2018-08-18
19689.1,2018-08-19
19905.9,2018-08-20
20050.9,2018-08-21
20436.6,2018-08-25
20864.0,2018-08-26
21090.7,2018-08-27
21127.1,2018-08-28
21355.1,2018-08-29
21660.2,2018-09-01
21628.5,2018-09-02
21725.0,2018-09-03
21976.8,2018-09-04
22189.1,2018-09-05
22798.3,2018-09-08
23436.7,2018-09-09
24134.0,2018-09-10
24598.0,2018-09-11
25341.8,2018-09-12
25976.5,2018-09-15
25855.0,2018-09-16
26557.0,2018-09-17
27104.1,2018-09-18
27930.5,2018-09-22
28724.4,2018-09-23
29347.3,2018-09-24
30417.6,2018-09-25
31454.9,2018-09-26
32618.1,2018-09-29
33866.2,2018-09-30
34007.3,2018-10-01
33049.8,2018-10-02
32226.4,2018-10-03
31708.7,2018-10-06
30805.5,2018-10-07
30189.8,2018-10-08
29988.8,2018-10-09
29439.3,2018-10-10
28740.1,2018-10-13
28450.1,2018-10-14
28717.6,2018-10-15
29006.3,2018-10-16
28684.3,2018-10-17
29359.5,2018-10-20
29312.6,2018-10-21
28941.5,2018-10-22
28329.5,2018-10-23
27752.4,2018-10-24
27381.4,2018-10-27
27554.6,2018-10-28
28096.8,2018-10-29
28306.7,2018-10-31
28126.6,2018-11-03
27900.8,2018-11-04
28250.0,2018-11-05
28446.1,2018-11-06
28495.5,2018-11-10
28180.3,2018-11-11
28482.2,2018-11-12
28674.6,2018-11-13
28544.1,2018-11-14
28305.9,2018-11-17
27751.9,2018-11-18
27922.6,2018-11-19
27977.4,2018-11-20
28164.7,2018-11-21
27967.5,2018-11-24
27459.2,2018-11-26
27499.6,2018-11-27
27237.3,2018-11-28
26622.8,2018-12-01
26883.2,2018-12-02
27176.5,2018-12-03
27123.0,2018-12-04
27441.4,2018-12-05
27736.1,2018-12-08
27755.0,2018-12-09
27714.6,2018-12-10
27714.3,2018-12-11
27743.3,2018-12-12
27652.2,2018-12-15
27333.9,2018-12-16
27179.2,2018-12-17
26962.8,2018-12-18
26636.8,2018-12-19
26612.9,2018-12-22
26910.3,2018-12-23
27021.1,2018-12-24
27012.8,2018-12-25
27254.7,2018-12-26
27474.7,2018-12-29
27584.8,2018-12-30
27767.9,2018-12-31
27986.3,2019-01-01
27935.9,2019-01-02
27905.2,2019-01-05
27924.1,2019-01-06
